17,0,0,0,1,0,0,1,10,0,1,0,1.0
18,0,0,0,1,0,0,1,10,0,1,0,0.5
19,0,0,0,1,0,0,1,10,0,1,0,0.5
20,0,0,0,1,0,0,4,10,0,0,1,0.5
1,0,6,0,0,0,0,3,10,1,1,0,1.0
2,0,4,-1,1,0,0,3,10,0,1,0,1.0
3,0,1,0,0,0,0,3,10,1,0,0,0.0
4,0,2,-1,1,0,0,4,10,0,0,0,0.0
5,0,0,0,1,0,0,3,10,0,1,0,1.0
7,0,0,0,0,0,0,3,10,1,0.995,0,1.0
5,0,0,-1,1,0,0,3,10,0,1,0,1.0
7,0,0,0,0,0,0,3,10,1,1,0,1.0
5,0,0,-1,1,0,0,3,10,0,1,0,1.0
7,0,0,0,0,0,0,3,10,1,1,0,1.0
5,0,0,-1,1,0,0,3,10,0,1,0,1.0
7,0,0,0,0,0,0,3,10,1,1,0,1.0
-,-,-,-,-,-,-,-,-,-,-,-,-
17,0,0,-1,1,0,0,1,1,0,1,0,1.0
18,0,0,0,1,0,0,1,10,0,0.5833333,0,0.4666666666666667
19,0,0,0,1,0,0,1,10,1,0.6075949,0,0.0
1,0,6,0,0,0,0,3,10,1,1,0,0.0
2,0,4,-1,1,0,0,3,10,0,1,0,0.0
17,0,0,-1,1,0,0,1,1,0,0,0,1.0
18,0,0,0,1,0,0,1,10,0,0,0,0.4666666666666667
19,0,0,0,1,0,0,1,1,1,0,0,0.0
3,0,1,0,0,0,0,3,10,1,0,0,0.0
4,0,2,-1,1,0,0,3,10,0,0,0,0.0
5,0,0,-1,1,2,0,3,1,0,1,0,0.4666666666666667
6,0,0,-1,1,2,0,3,2,0,1,0,0.2
7,0,0,0,0,0,0,4,10,1,0.7086093,0,0.0
7,0,0,0,1,2,0,3,10,1,0.5,0,0.0
7,0,0,0,0,2,0,3,10,1,0.905,0,0.0
7,0,0,0,0,0,0,3,10,1,0.9293478,0,0.0
7,0,0,0,1,2,0,3,10,1,0.2857143,0,0.0
7,0,0,0,0,0,0,3,10,1,0.9435028,0,0.0
7,0,0,0,1,2,0,3,10,1,0.4615385,0,0.0
7,0,0,0,0,0,0,3,10,1,0.9774436,0,0.0
6,0,0,-1,1,2,0,3,2,0,1,0,0.2
7,0,0,0,0,0,0,4,10,1,0.9140625,0,0.0
7,0,0,0,1,2,0,4,10,0,1,0,0.0
7,0,0,0,0,0,0,4,10,1,0.9591837,0,0.0
7,0,0,0,1,2,0,4,10,0,1,0,0.0
7,0,0,0,0,0,0,4,10,1,0.9806452,0,0.0
7,0,0,0,1,2,0,4,10,0,1,0,0.0
7,0,0,0,0,0,0,4,10,1,0.9639176,0,0.0
6,0,0,-1,1,2,0,3,2,0,1,0,0.2
7,0,0,0,1,0,0,4,10,1,0.8837209,0,0.0
7,0,0,0,1,2,0,4,10,1,1,0,0.0
7,0,0,0,1,2,0,4,10,1,1,0,0.0
7,0,0,0,1,2,0,4,10,1,1,0,0.0
