,标签,数量,准确率,召回率,F值
0,论文名称,223,0.9636363636363636,0.9506726457399103,0.9571106094808126
1,姓名,211,0.9257425742574258,0.8862559241706162,0.9055690072639225
2,单位,220,0.8810572687224669,0.9090909090909091,0.894854586129754
3,中文摘要,123,0.9603174603174603,0.983739837398374,0.9718875502008032
4,中文关键词,124,0.9457364341085271,0.9838709677419355,0.9644268774703558
5,一级标题,520,0.793918918918919,0.9038461538461539,0.8453237410071942
6,文本段,3163,0.9710559796437659,0.9652228896617135,0.9681306484858094
7,公式,735,0.9732770745428974,0.9414965986394558,0.9571230982019363
8,图片,460,0.9116379310344828,0.9195652173913044,0.9155844155844156
9,邮箱,53,0.9122807017543859,0.9811320754716981,0.9454545454545454
10,图题,511,0.954,0.9334637964774951,0.9436201780415431
11,二级标题,670,0.8641618497109826,0.8925373134328358,0.8781204111600588
12,三级标题,115,0.9066666666666666,0.591304347826087,0.7157894736842105
13,表题,242,0.967479674796748,0.9834710743801653,0.9754098360655739
14,表格,200,0.9675675675675676,0.895,0.92987012987013
