,标签,数量,准确率,召回率,F值
0,论文名称,281,0.967741935483871,0.9608540925266904,0.9642857142857143
1,姓名,269,0.9044117647058824,0.9144981412639405,0.9094269870609981
2,单位,276,0.9064748201438849,0.9130434782608695,0.9097472924187725
3,中文摘要,156,0.967948717948718,0.967948717948718,0.9679487179487178
4,中文关键词,155,0.9483870967741935,0.9483870967741935,0.9483870967741934
5,一级标题,662,0.8486562942008486,0.9063444108761329,0.8765522279035792
6,文本段,3994,0.966707768187423,0.9814722083124687,0.974034041495838
7,二级标题,844,0.8914354644149578,0.8755924170616114,0.8834429169157203
8,公式,937,0.9820022497187851,0.9316969050160085,0.9561883899233297
9,图片,559,0.9280701754385965,0.9463327370304114,0.9371124889282552
10,图题,650,0.9402756508422665,0.9446153846153846,0.9424405218726016
11,表题,256,0.9653846153846154,0.98046875,0.9728682170542635
12,表格,214,0.9712918660287081,0.9485981308411215,0.9598108747044917
13,邮箱,65,0.9846153846153847,0.9846153846153847,0.9846153846153847
14,三级标题,169,0.9545454545454546,0.621301775147929,0.7526881720430108
