,标签,数量,准确率,召回率,F值
0,论文名称,50,0.9565217391304348,0.88,0.9166666666666666
1,单位,53,0.8076923076923077,0.7924528301886793,0.7999999999999999
2,姓名,50,0.8125,0.78,0.7959183673469388
3,中文摘要,32,0.9310344827586207,0.84375,0.8852459016393444
4,中文关键词,32,0.875,0.875,0.875
5,文本段,879,0.9474860335195531,0.9647326507394767,0.9560315670800451
6,一级标题,139,0.8442622950819673,0.7410071942446043,0.789272030651341
7,二级标题,153,0.7391304347826086,0.8888888888888888,0.8071216617210683
8,公式,129,0.9603174603174603,0.937984496124031,0.9490196078431372
9,表题,25,0.8846153846153846,0.92,0.9019607843137256
10,表格,30,0.8214285714285714,0.7666666666666667,0.793103448275862
11,图片,126,0.9327731092436975,0.8809523809523809,0.9061224489795918
12,图题,151,0.9367088607594937,0.9801324503311258,0.9579288025889968
13,三级标题,44,0.2647058823529412,0.20454545454545456,0.23076923076923078
14,邮箱,7,1.0,0.14285714285714285,0.25
