,标签,数量,准确率,召回率,F值
0,论文名称,162,0.9629629629629629,0.9629629629629629,0.9629629629629629
1,姓名,157,0.8930817610062893,0.9044585987261147,0.8987341772151899
2,单位,159,0.8727272727272727,0.9056603773584906,0.8888888888888888
3,中文摘要,91,0.956989247311828,0.978021978021978,0.967391304347826
4,中文关键词,92,0.978494623655914,0.9891304347826086,0.9837837837837837
5,一级标题,399,0.8756218905472637,0.8822055137844611,0.8789013732833957
6,文本段,2400,0.970942299709423,0.9745833333333334,0.9727594094406322
7,三级标题,85,0.9242424242424242,0.7176470588235294,0.8079470198675496
8,表题,142,0.9448275862068966,0.9647887323943662,0.9547038327526133
9,表格,114,0.9166666666666666,0.9649122807017544,0.9401709401709402
10,图题,382,0.9470899470899471,0.93717277486911,0.9421052631578948
11,图片,341,0.9615384615384616,0.9530791788856305,0.9572901325478645
12,二级标题,478,0.8920570264765784,0.9163179916317992,0.9040247678018576
13,邮箱,39,0.9743589743589743,0.9743589743589743,0.9743589743589743
14,公式,474,0.9846153846153847,0.9451476793248945,0.9644779332615716
