,标签,数量,准确率,召回率,F值
0,论文名称,437,0.9953488372093023,0.9794050343249427,0.9873125720876587
1,姓名,425,0.9496402877697842,0.9317647058823529,0.9406175771971497
2,中文摘要,262,0.9961089494163424,0.9770992366412213,0.9865125240847784
3,中文关键词,264,0.9770992366412213,0.9696969696969697,0.9733840304182511
4,英文摘要,194,0.979381443298969,0.979381443298969,0.979381443298969
5,英文关键词,186,0.972972972972973,0.967741935483871,0.9703504043126685
6,一级标题,1120,0.8593023255813953,0.6598214285714286,0.7464646464646465
7,文本段,7096,0.9218770830555926,0.9744926719278467,0.9474549564979106
8,二级标题,1427,0.6687578419071518,0.747021723896286,0.7057265806024495
9,图片,1049,0.949119373776908,0.9246901811248809,0.9367455335586673
10,图题,1190,0.9656357388316151,0.9445378151260504,0.9549702633814784
11,表题,400,0.9698492462311558,0.965,0.9674185463659147
12,表格,347,0.9939759036144579,0.9510086455331412,0.9720176730486009
13,三级标题,342,0.49122807017543857,0.16374269005847952,0.24561403508771926
14,单位,446,0.9480812641083521,0.9417040358744395,0.9448818897637795
15,公式,1498,0.9389067524115756,0.9746328437917223,0.9564362921716345
16,邮箱,82,0.975609756097561,0.975609756097561,0.975609756097561
17,程序代码,48,0.7142857142857143,0.20833333333333334,0.3225806451612903
18,四级标题,11,,0.0,
